plotcode,country,plotsize_m2,biomass_vascular_plants_g.m-2,NP_vascular_plants,harvest_year,resNPbio,nosp,aveMean_root_diameter_D,aveRoot_nitrogen_concentration_RN,aveRoot_tissue_density_RTD,aveSpecific_root_length_SRL,aveN-fixing,aveAM,aveNM,aveEcM,aveErM,aveNM_AM,aveOM,aveMycorrhizal_association_capacity_MA,aveRoot_mycorrhizal_colonization_intensity_%M,aveCluster_roots,resMean_root_diameter_D,resRoot_nitrogen_concentration_RN,resRoot_tissue_density_RTD,resSpecific_root_length_SRL,resN-fixing,resAM,resNM,resEcM,resErM,resNM_AM,resOM,resMycorrhizal_association_capacity_MA,resRoot_mycorrhizal_colonization_intensity_%M,resCluster_roots
HM2020_54,1,25,265.7500000000,5.1600000000,2020.0000000000,-0.7496084773,15.0000000000,-1.4644822584,2.3240114374,-1.8764464827,4.6819032014,0.1333333333,0.8666666667,0.0000000000,0.0000000000,0.0000000000,0.1333333333,0.0000000000,0.8666666667,56.2136235364,0.0000000000,0.1389331100,0.1502908720,0.0063371768,-0.3626491543,1.3636019710,2.8704487837,-1.3298433763,-0.0650395839,-0.1837808063,-2.3110804089,-0.7055486118,2.7298621024,10.3912655360,-0.8730569876
HM2020_55,1,9,269.2500000000,5.5500000000,2020.0000000000,-0.6741793553,15.0000000000,-1.3910959712,2.4261575157,-1.9153502730,4.5396375563,0.2000000000,0.6000000000,0.0666666667,0.0000000000,0.0000000000,0.3333333333,0.0000000000,0.6000000000,57.2611281478,0.0000000000,0.2127633562,0.2516306065,-0.0321218325,-0.5059586116,2.1802044602,0.6335605024,0.1544551098,-0.0648931413,-0.1822163320,-0.5704790039,-0.7042168682,0.4853746529,11.4276676752,-0.8390534019
HM2020_56,1,25,177.2500000000,3.4400000000,2020.0000000000,-1.2345532082,10.0000000000,-1.4856105049,2.1376964678,-1.8855451344,4.6811582617,0.1000000000,0.9000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,0.9000000000,61.2112654822,0.0000000000,0.1040631151,-0.0110655507,-0.0165286659,-0.3310852485,0.8028681238,2.7109955949,-1.1068694832,-0.0569420832,-0.1955043126,-2.2291701381,-0.6107527443,2.5776712085,15.7325593729,-0.8014197129
HM2020_57,1,9,659.2500000000,4.4700000000,2020.0000000000,-0.7148557210,17.0000000000,-1.5780276917,2.4782592678,-1.9471870241,5.2422449174,0.1764705882,0.7058823529,0.0588235294,0.0000000000,0.0000000000,0.2352941176,0.0000000000,0.7058823529,47.5461340243,0.0000000000,0.0562152822,0.2485478472,-0.0335186822,0.1252123850,1.8090040667,1.2568945028,0.1121977912,-0.0592078347,-0.1080456261,-1.2591918059,-0.6586803616,1.1618506422,0.9528431901,-0.7248900891
HM2020_61,1,9,2352.3600000000,22.2400000000,2020.0000000000,1.1392904406,4.0000000000,#N/A,#N/A,#N/A,#N/A,0.0000000000,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.6666666667,0.0000000000,0.3333333333,#N/A,0.0000000000,#N/A,#N/A,#N/A,#N/A,-0.6546609860,-0.9723549098,-0.5361041028,-0.0199773214,-0.0197607765,1.1442521619,-0.2301465362,-0.9769999940,#N/A,-0.2583581506
hr_K2,5,25,469.7000000000,9.6200000000,2001.0000000000,-0.0149297926,29.0000000000,-1.5613935134,#N/A,-1.7842074589,5.0471542745,0.1111111111,0.6666666667,0.0000000000,0.0000000000,0.0000000000,0.3333333333,0.0000000000,0.6666666667,51.7819914979,0.0000000000,0.0613466692,#N/A,0.1179367944,-0.0428335252,1.2688560707,1.3083658287,-1.7365623677,-0.0791045292,-0.1699401342,-0.5919257041,-0.8718161122,1.1587787685,5.4763610057,-0.9740845580
hr_L10,5,25,821.0000000000,7.5800000000,2002.0000000000,-0.1436700334,14.0000000000,#N/A,#N/A,#N/A,#N/A,0.0714285714,0.5714285714,0.1428571429,0.0000000000,0.0000000000,0.2857142857,0.0000000000,0.5714285714,47.3475198426,0.0000000000,#N/A,#N/A,#N/A,#N/A,0.2443943947,0.0342381443,1.2830776450,-0.0517370364,-0.0849488918,-0.6808887664,-0.5790626497,-0.0401473100,0.5680434427,-0.6142586527
hr_L3,5,25,325.0000000000,7.9000000000,2001.0000000000,-0.2841835302,13.0000000000,#N/A,#N/A,#N/A,#N/A,0.0000000000,0.3076923077,0.2307692308,0.0000000000,0.0000000000,0.4615384615,0.0000000000,0.3076923077,#N/A,0.0000000000,#N/A,#N/A,#N/A,#N/A,-1.1095870169,-1.5961695156,2.0940688727,-0.0584850641,-0.1500063546,0.4555994979,-0.6380116231,-1.7225552810,#N/A,-0.7081346859
hr_L4,5,25,358.2000000000,8.0700000000,2001.0000000000,-0.2438044428,15.0000000000,#N/A,#N/A,#N/A,#N/A,0.0000000000,0.3333333333,0.2000000000,0.0000000000,0.0000000000,0.4666666667,0.0000000000,0.3333333333,#N/A,0.0000000000,#N/A,#N/A,#N/A,#N/A,-1.2040522011,-1.5422857732,1.9211393506,-0.0617790885,-0.1512093856,0.5524413663,-0.6757709857,-1.6722524013,#N/A,-0.6941874770
hr_L9,5,25,697.6000000000,6.6400000000,2002.0000000000,-0.3080356792,15.0000000000,#N/A,#N/A,#N/A,#N/A,0.0000000000,0.6000000000,0.1333333333,0.0000000000,0.0000000000,0.2666666667,0.0000000000,0.6000000000,48.2882716057,0.0000000000,#N/A,#N/A,#N/A,#N/A,-1.2906442022,0.3140706203,1.1901132921,-0.0550769346,-0.0978086309,-0.9018602810,-0.6136816655,0.2269207490,1.6470020748,-0.6633787606
