species,species occurence frequency (pool),threatened,N_variance,P_variance,K_variance,NP_variance,NK_variance,KP_variance,N_median,P_median,K_median,NP_median,NK_median,KP_median
Saxifraga hirculus,36,Yes,6.79,0.18,61.66,0.16,0.18,0.5,13.75,1.02,15.16,14.29,1.05,15.05
Scabiosa lucida,30,No,2.67,0.02,6.93,0.04,0.06,0.05,16.87,0.77,10.39,22.41,1.6,14.12
Scheuchzeria palustris,45,Yes,10.88,0.04,15.48,0.1,0.21,0.32,10.6,0.49,7.4,23.63,1.53,16.21
Schoenus ferrugineus,23,Yes,2.74,0.02,7.73,0.05,0.06,0.06,16.73,0.72,10.68,23.13,1.55,15.11
Schoenus nigricans,16,Yes,10.59,0.15,14.2,0.21,0.17,0.09,12.35,0.46,4.88,27.46,2.43,10.72
Scirpus sylvaticus,24,No,4.43,0.23,16.17,0.07,0.19,0.18,15.11,1.97,7.78,7.96,1.82,4.91
Scorzonera humilis,13,Yes,3.29,0.03,10.98,0.07,0.09,0.1,16.88,0.79,11.4,21.38,1.45,15.11
Scutellaria galericulata,254,No,9.45,0.33,50.62,0.2,0.2,0.34,13.33,1.01,12.3,13.47,1.1,11.76
Selinum carvifolia,24,Yes,16.23,0.05,19.91,0.02,0.58,0.52,14.05,0.9,10.58,15.9,1.45,12.4
Serratula tinctoria,71,Yes,8.04,0.2,19.48,0.19,0.21,0.11,16.11,0.83,12.94,19.72,1.18,14.81
Sesleria albicans,43,Yes,2.7,0.02,10.61,0.03,0.08,0.06,16.86,0.77,10.68,22.23,1.55,15.11
Silaum silaus,13,Yes,6.96,0.62,23.31,0.42,0.15,0.13,15.4,1.33,20.47,8.85,0.75,11.93
Sium latifolium,10,Yes,6.48,0.12,1.74,0.04,0.04,0.09,13.26,1.65,12.71,9.29,1.03,7.8
Sparganium erectum,76,No,11.25,0.27,38,0.08,0.35,0.32,13.83,1.51,11.21,9.31,1.12,7.32
Spergularia media (subsp. angustata),10,Yes,22.91,0.62,18.84,0.01,0.2,0.24,18.07,2.45,20.94,7.52,0.88,8.35
Stachys officinalis,49,Yes,4.83,0.02,10.04,0.06,0.09,0.06,16.86,0.79,11.33,21.38,1.39,15.11
Stachys palustris,320,No,12.41,0.46,51.65,0.18,0.33,0.39,13.79,1.43,11.56,10.05,1.11,8.71
Stellaria crassifolia,14,Yes,6.68,0.08,72.7,0.06,0.21,0.26,15.27,0.94,24.54,15.95,0.71,23.56
Stellaria graminea,58,No,17.9,0.63,54.99,0.12,0.27,0.19,14.32,2.1,16.48,6.66,0.79,7.77
Stellaria media,13,No,28.61,0.5,37.17,0.06,0.25,0.15,19.39,3.11,23.77,6.33,0.79,7.39
Stellaria pallida,24,No,14.62,0.24,9.88,0.11,0.14,0.24,14.31,1.41,7.45,10.11,1.76,4.9
Stellaria palustris,308,Yes,9.75,0.41,49.23,0.21,0.24,0.44,13.62,1.1,10.83,12.27,1.19,10.36
Succisa pratensis,234,No,11.69,0.33,28.2,0.27,0.33,0.46,14.5,0.93,9.64,15.45,1.53,10.62
Symphytum officinale,265,No,18.87,0.64,55.34,0.17,0.41,0.39,14.2,1.8,12.03,8.11,1.1,7.43
Tanacetum vulgare,10,No,5.5,0.14,14.89,0.14,0.39,0.19,6.97,1.61,11.5,4.68,0.57,7.95
Taraxacum officinale,385,No,16.92,0.64,49.56,0.19,0.44,0.39,15.04,1.8,11.13,8.52,1.3,6.89
Thalictrum flavum,121,No,13.15,0.51,45.73,0.21,0.33,0.24,12.91,1.56,13.6,8.85,0.93,8.76
Thelypteris palustris,423,Yes,12.12,0.47,46.2,0.22,0.33,0.49,14.2,1.17,10.13,12.27,1.33,9.43
Thesium rostratum,24,Yes,2.74,0.01,7.63,0.02,0.06,0.05,16.87,0.76,10.08,23.84,1.74,14.02
Thymus praecox,30,Yes,2.77,0.02,12.47,0.04,0.09,0.07,16.8,0.77,10.39,22.99,1.6,15.47
Thymus pulegioides,15,Yes,1.27,0.01,10.73,0.03,0.08,0.07,16.88,0.8,11.4,21.02,1.48,14.53
