species,species occurence frequency (pool),threatened,N_variance,P_variance,K_variance,NP_variance,NK_variance,KP_variance,N_median,P_median,K_median,NP_median,NK_median,KP_median
Dactylorhiza maculata,83,Yes,11.56,0.32,20.01,0.17,0.32,0.4,15.49,0.99,11.19,15.57,1.42,10.27
Dactylorhiza majalis,257,Yes,15.3,0.57,39.6,0.16,0.4,0.39,15.4,1.66,10.39,9.46,1.47,6.74
Danthonia decumbens,83,Yes,9.38,0.12,14.53,0.11,0.18,0.22,16.05,0.8,11.19,19.72,1.44,13.45
Daucus carota,88,No,17.89,0.7,74.03,0.12,0.52,0.47,12.41,2.01,14.73,6.29,0.82,7.72
Deschampsia cespitosa,254,No,16.04,0.65,54.68,0.22,0.46,0.45,14.94,1.88,10.74,7.84,1.36,6.68
Drosera anglica,61,Yes,10.11,0.06,17.56,0.1,0.21,0.29,11.7,0.47,6.85,23.63,1.71,12.36
Drosera intermedia,12,Yes,8.45,0.01,0.4,0.04,0.03,0.08,11,0.43,4.36,27.71,2.5,10.58
Drosera rotundifolia,204,Yes,8.7,0.22,50.98,0.2,0.3,0.33,12.72,0.79,9.33,17.21,1.35,12.2
Dryopteris carthusiana,19,No,9.31,0.48,26.51,0.1,0.14,0.09,15.77,1.53,12.5,9.96,1.17,8.49
Dryopteris cristata,22,Yes,8.96,0.25,21.66,0.13,0.26,0.15,15.48,1.55,12.66,10.06,1.12,9
Dryopteris dilatata,18,No,6.83,0.09,5.73,0.12,0.09,0.06,9.65,0.64,5.15,17.28,1.97,8.15
Eleocharis palustris,215,No,13.94,0.93,59.18,0.23,0.37,0.54,14.78,1.7,13.07,8.85,1.17,7.74
Elytrigia repens,122,No,20.25,0.78,70.38,0.12,0.43,0.41,13.08,2.06,15.72,6.53,0.8,7.95
Epilobium hirsutum,26,No,9.77,0.4,83.53,0.17,0.27,0.54,14.85,1.28,20.64,11.48,0.79,11.35
Epilobium palustre,349,No,10.99,0.42,49.47,0.22,0.3,0.48,13.89,1.1,10.02,12.69,1.29,10.11
Epilobium tetragonum,26,No,7.7,0.59,46.56,0.17,0.19,0.15,12.39,1.78,17.37,7.09,0.76,8.97
Epipactis atrorubens,11,Yes,1.36,0.02,6.57,0.03,0.04,0.03,17.33,0.72,10.42,24.05,1.73,15.69
Epipactis palustris,238,Yes,8.42,0.21,47.17,0.19,0.22,0.27,14.26,0.83,11.3,17.03,1.22,13.29
Equisetum arvense,85,No,18.72,0.76,59.67,0.15,0.31,0.31,13.27,2.06,17.5,6.41,0.75,9.09
Equisetum fluviatile,458,No,13.15,0.52,45.33,0.23,0.34,0.52,14.35,1.23,10.04,11.82,1.37,8.64
Equisetum palustre,244,No,11.44,0.37,42.16,0.2,0.3,0.43,14.99,1.13,9.46,13.44,1.49,9.2
Eriophorum angustifolium,396,No,12.79,0.41,45.13,0.21,0.33,0.48,13.96,1.04,9.43,13.41,1.4,9.74
Eriophorum gracile,105,Yes,7.48,0.17,65.03,0.21,0.22,0.33,13.33,0.83,11.24,17.12,1.17,16.49
Eriophorum latifolium,74,Yes,13.01,0.06,17.07,0.1,0.14,0.16,13.62,0.7,7.88,21.68,1.76,11.48
Eriophorum vaginatum,53,Yes,10.32,0.07,13.01,0.14,0.18,0.24,11,0.47,5.87,23.33,1.92,10.98
Eupatorium cannabinum,106,No,17.41,0.5,31.75,0.13,0.31,0.35,14.73,1.57,12.08,9.35,1.17,8.4
Euphorbia brittingeri,18,No,2.93,0.02,16.06,0.02,0.12,0.07,16.91,0.77,11.01,23.84,1.57,16.16
Euphorbia esula,17,No,6.54,0.54,23.73,0.19,0.04,0.11,12.31,2.2,20.4,7.13,0.71,10.91
Euphrasia stricta,30,No,4.93,0.15,10.21,0.12,0.05,0.09,16.75,0.93,12.06,17.34,1.35,12.17
Festuca arundinacea,207,No,20.37,0.68,59.51,0.13,0.46,0.42,14.56,2.04,14.55,7.14,0.95,7.44
Festuca guestfalica,31,No,2.98,0.01,11.4,0.04,0.09,0.07,17.04,0.83,11.78,20.92,1.37,15.41
Festuca ovina,84,No,14.23,0.35,23.63,0.3,0.45,0.6,13.12,1.4,9.25,9.23,1.54,6.8
Festuca pratensis,265,No,17.48,0.56,55.09,0.14,0.49,0.36,15.12,1.98,10.13,7.79,1.55,5.41
Festuca rubra,494,No,14.73,0.66,48.86,0.24,0.38,0.5,14.77,1.46,10.89,9.95,1.33,8.42
Filipendula ulmaria,481,No,13.57,0.56,46.64,0.2,0.37,0.49,14.4,1.42,10.42,10.44,1.34,7.99
Filipendula vulgaris,15,Yes,2.39,0.01,9.73,0.03,0.09,0.09,16.94,0.79,11.4,21.38,1.48,14.14
Fragaria viridis,12,No,6.18,0.59,25.38,0.26,0.1,0.1,12.1,1.67,20.6,7.9,0.71,11.69
Galium anisophyllon,27,No,2.57,0.02,9.15,0.03,0.07,0.05,17.04,0.76,10.35,23.08,1.66,14.09
Galium boreale,83,No,9.52,0.16,29.77,0.17,0.29,0.33,15.79,0.83,11.78,19.56,1.37,14.14
Galium mollugo,181,No,15.25,0.73,52.83,0.37,0.42,0.49,15.06,1.53,11.54,8.85,1.27,9.2
Galium palustre,438,No,12.87,0.49,45.15,0.2,0.33,0.52,14.38,1.29,10.37,11.5,1.33,8.59
Galium uliginosum,397,No,12.26,0.43,46.44,0.2,0.33,0.51,14.25,1.14,9.71,12.46,1.35,9.45
Galium verum,93,No,9.12,0.52,41.49,0.37,0.3,0.4,15.4,0.91,12.99,15.77,1.15,12.59
Gentiana asclepiadea,24,Yes,2.69,0.02,10.25,0.05,0.07,0.07,16.75,0.78,10.97,21.89,1.52,14.44
Gentiana pneumonanthe,27,Yes,21.23,0.05,20.37,0.04,0.62,0.55,15.17,0.88,11.97,15.94,1.42,12.83
Gentiana verna,25,Yes,2.65,0.01,7.05,0.02,0.06,0.05,16.88,0.75,10.15,24.05,1.66,15.11
Geum rivale,11,Yes,9.16,0.08,90.08,0.03,0.86,0.88,18.9,1.16,6.23,16.88,3.31,5.37
Gladiolus palustris,47,Yes,2.72,0.02,10.46,0.04,0.08,0.06,16.88,0.79,11.33,21.43,1.45,15.24
Glechoma hederacea,185,No,18.31,0.66,63.54,0.14,0.46,0.35,14.76,2.06,14.64,6.93,0.94,7.35
Globularia nudicaulis,21,No,3,0.01,5.36,0.02,0.06,0.04,16.42,0.75,9.86,24.05,1.76,13.45
Glyceria fluitans,128,No,15.25,0.7,60.4,0.11,0.37,0.24,15.52,2.09,11.3,7.21,1.38,5.94
Glyceria maxima,83,No,14.08,0.38,33.98,0.1,0.3,0.23,14.11,1.79,10.14,8.22,1.42,6.44
Gymnadenia conopsea,136,Yes,11.68,0.31,26.07,0.27,0.28,0.34,15.2,0.87,11.14,17.64,1.43,12
Gymnadenia odoratissima,24,Yes,3.12,0.02,6.16,0.04,0.06,0.07,16.27,0.75,9.97,23.84,1.7,14.02
Helictotrichon pratense,23,No,2.58,0.02,13.28,0.03,0.11,0.07,16.94,0.79,11.4,21.38,1.48,15.11
Helictotrichon pubescens,119,No,10.12,0.43,31.26,0.36,0.34,0.56,14.83,0.96,11.33,12.87,1.36,11.71
Heracleum sphondylium,46,No,23.83,1.04,58.54,0.14,0.29,0.18,15.52,2.47,20.44,5.68,0.74,8.25
Herminium monorchis,37,Yes,5.16,0.13,73.2,0.07,0.15,0.27,14.83,1.13,21.47,13.33,0.7,21.29
Hieracium pilosella,46,No,11.51,0.23,21.82,0.18,0.62,0.63,11.16,1.64,6.84,6.76,1.56,4.8
Hierochloe odorata,16,Yes,5.4,0.54,33.91,0.15,0.3,0.33,14.48,1.34,5.19,10.5,2.48,3.78
Hippocrepis comosa,29,No,2.72,0.02,9.34,0.04,0.08,0.06,16.88,0.77,10.35,22.58,1.63,14.53
Holcus lanatus,392,No,16.73,0.65,48.43,0.2,0.43,0.39,14.88,1.78,10.76,8.62,1.37,6.88
Hydrocharis morsus-ranae,19,Yes,7.79,0.18,72.19,0.09,0.23,0.44,13.25,1.01,13.65,11.05,0.93,10.39
Hydrocotyle vulgaris,202,No,15.27,0.55,27.59,0.18,0.34,0.4,15.46,1.51,9.67,10.25,1.57,6.88
Hypericum perforatum,28,No,9.84,0.19,17.68,0.14,0.68,0.51,10.05,1.69,6.2,6.38,1.66,4.8
Hypericum tetrapterum,22,No,11.93,0.24,21.77,0.15,0.13,0.14,16.83,1.6,16.2,10.76,1.05,10.24
Hypochaeris radicata,286,No,18.38,0.63,55.68,0.17,0.48,0.42,15.48,1.95,11.16,7.81,1.37,6.4
Inula salicina,43,Yes,9.06,0.62,40.35,0.2,0.11,0.12,12.31,1.51,16.87,8.66,0.75,11.53
Iris pseudacorus,286,No,15,0.49,40.74,0.14,0.37,0.41,14.87,1.52,10.48,9.59,1.37,7.42
Juncus acutiflorus,125,Yes,11.28,0.45,22.72,0.19,0.25,0.32,14.88,1.46,8.26,9.86,1.68,6.21
Juncus articulatus,202,No,12.21,0.72,39.82,0.22,0.29,0.36,14.33,1.17,10.81,12.44,1.28,9.44
Juncus bufonius,17,No,27.12,1.05,48.25,0.09,0.22,0.16,16.39,2.64,18.54,6.71,1,6.8
Juncus conglomeratus,181,No,14.71,0.47,21.79,0.16,0.29,0.35,15.54,1.47,8.98,10.59,1.75,6.28
Juncus effusus,343,No,16.83,0.63,47.56,0.18,0.43,0.37,15.04,1.8,10.23,8.62,1.46,6.3
Juncus filiformis,47,Yes,8.39,0.32,18.17,0.09,0.21,0.19,14.9,1.69,7.21,8.62,2.03,4.68
Juncus subnodulosus,64,Yes,18.54,0.7,19.2,0.15,0.39,0.5,14.82,1.47,9.07,10.29,1.5,6.79
Koeleria pyramidata,23,Yes,3.03,0.02,11.86,0.04,0.1,0.08,16.88,0.8,11.7,21.02,1.37,15.11
Laserpitium latifolium,25,No,2.63,0.01,8.78,0.02,0.07,0.05,16.88,0.76,10.15,23.62,1.73,14.09
Laserpitium prutenicum,24,Yes,2.67,0.01,7.97,0.02,0.07,0.05,17.11,0.75,10.08,23.84,1.74,14.12
Laserpitium siler,21,No,3.07,0.01,6.17,0.02,0.06,0.05,16.42,0.75,9.86,24.05,1.76,13.94
Lathyrus palustris,160,Yes,15.38,0.47,49.07,0.14,0.44,0.55,14.46,1.36,10.97,11.02,1.22,8.37
Lathyrus pratensis,135,No,15.17,0.68,63.25,0.26,0.39,0.49,13.46,1.85,14.71,7.18,0.81,9.22
Lemna minor,69,No,9.71,0.19,56.33,0.1,0.15,0.29,12.6,1.17,12.59,11.05,1.01,10.4
Lemna trisulca,17,No,8.56,0.19,74.41,0.09,0.24,0.44,12.6,1.01,13.19,11.02,0.93,10.39
Leontodon autumnalis,123,No,23.65,0.77,70.86,0.16,0.56,0.39,14.19,2.01,12.03,6.75,1.07,6.61
Leontodon hispidus,39,Yes,2.53,0.02,9.5,0.04,0.07,0.06,16.73,0.77,10.68,21.8,1.55,15.11
Leontodon incanus,17,No,3.26,0.01,8.72,0.03,0.07,0.04,16.42,0.72,10.01,24.32,1.74,14.09
Leucanthemum vulgare,72,No,10.87,0.31,22.7,0.39,0.26,0.55,15.71,0.87,10.9,18.92,1.39,12.83
Linaria vulgaris,31,No,7.82,0.16,17.12,0.11,0.62,0.46,10.95,1.81,5.8,6.53,1.99,3.81
Linum catharticum,227,Yes,11.78,0.36,35.15,0.28,0.32,0.39,14.46,0.9,9.99,15.9,1.48,10.91
Linum viscosum,11,Yes,4.34,0.01,9.89,0.01,0.08,0.08,17.92,0.75,8.94,24.67,2.06,13.24
Liparis loeselii,163,Yes,7.02,0.26,57.41,0.21,0.18,0.33,13.33,0.87,10.85,15.53,1.16,13.62
Lolium perenne,96,No,24.91,0.8,69.15,0.1,0.44,0.33,14.37,2.22,15.72,6.32,0.89,7.36
Lotus corniculatus,172,No,14,0.54,46.57,0.37,0.44,0.51,14.67,1.1,11.47,11.69,1.24,10.15
Lotus pedunculatus,530,No,14.98,0.65,50.44,0.22,0.37,0.47,14.38,1.47,10.76,9.68,1.27,7.96
Luzula campestris,46,No,10.2,0.24,20.11,0.15,0.61,0.57,11.04,1.78,6.46,6.69,1.69,4.61
Luzula multiflora,150,No,13.93,0.49,20.25,0.17,0.31,0.41,15.16,1.21,9.28,12.71,1.62,7.44
Lycopus europaeus,351,No,11.1,0.42,49.16,0.2,0.3,0.46,14.05,1.16,10.46,12.39,1.22,9.76
Lysimachia nummularia,285,No,17.45,0.57,57.1,0.13,0.51,0.41,14.87,1.98,11.53,7.53,1.26,6.35
Lysimachia thyrsiflora,397,Yes,12.55,0.48,48.57,0.23,0.34,0.51,14.17,1.16,9.91,12.38,1.34,9.54
Lysimachia vulgaris,442,No,12.3,0.45,48.49,0.19,0.34,0.49,14.41,1.23,10.48,11.79,1.32,9.17
Lythrum salicaria,402,No,12.98,0.47,46.35,0.17,0.36,0.5,14.35,1.32,10.13,11.12,1.37,8.36
Malaxis monophyllos,21,Yes,9.36,0.05,15.56,0.11,0.13,0.21,11.47,0.49,9.63,25.36,1.34,19.23
Mentha aquatica,505,No,13.37,0.6,50.78,0.21,0.36,0.48,14.39,1.4,11.08,10.46,1.26,8.54
Mentha arvensis,139,No,15.39,0.39,33.68,0.22,0.42,0.48,12.74,1.31,9.44,9.45,1.43,8.07
Menyanthes trifoliata,286,Yes,8.66,0.3,52.25,0.23,0.25,0.37,13.31,0.95,10.21,14.16,1.23,11.2
Molinia caerulea,326,No,11.26,0.37,30.59,0.26,0.29,0.42,14.3,0.92,9.16,14.87,1.56,10.14
Myosotis arvensis,26,No,6.23,0.37,20.37,0.11,0.06,0.09,12.6,2.15,19.42,7.14,0.71,9.83
Myosotis laxa (subsp. cespitosa),137,No,15.88,0.71,43.05,0.15,0.3,0.27,15.77,1.94,12.94,8.16,1.24,6.92
Myosotis ramosissima,16,No,5.41,0.52,35.75,0.14,0.33,0.34,14.48,1.46,5.19,9.88,2.48,3.78
Myosotis scorpioides,462,No,13.45,0.59,48.87,0.21,0.35,0.53,14.35,1.38,10.44,10.7,1.32,8.4
Nardus stricta,21,No,5.61,0.13,18.59,0.09,0.58,0.49,10.07,1.81,8.96,5.9,1.12,4.76
Narthecium ossifragum,13,Yes,19.64,0.01,0.71,0.05,0.04,0.07,11,0.44,4.42,28.04,2.52,10.7
Odontites vernus,12,No,19.86,0.12,30.48,0.28,0.75,0.38,18.73,1.35,7.84,15.64,2.72,5.11
Oenanthe lachenalii,11,Yes,12.2,0.49,22.74,0.25,0.1,0.19,15.77,1.62,12.62,8.16,1.13,10.19
Parnassia palustris,293,Yes,10.02,0.25,49.93,0.2,0.26,0.34,13.82,0.9,10.39,15.7,1.22,12.36
Pastinaca sativa,11,No,16.86,0.53,65.84,0.04,0.12,0.08,14.78,2.41,22.67,6.24,0.65,8.88
Pedicularis palustris,295,Yes,12.18,0.42,50.9,0.18,0.35,0.6,14.24,1.11,9.91,12.52,1.3,9.85
Persicaria amphibia,224,Yes,17.79,0.66,60.29,0.12,0.43,0.33,15.12,1.99,13.42,7.63,1.1,6.94
Persicaria bistorta,22,No,7.42,0.95,50.09,0.25,0.15,0.51,14.32,1.12,19.93,13.06,0.65,22.65
